User_Id,Email,Password,First_Name,Last_Name,Street_Address,City,State,Zipcode,Phone,Role
1,RSanchez@weu.edu,password,Robert,Sanchez,16-54 ORD ST,Tulsa,OK,74101,588-555-4793,faculty
2,PWalker@weu.edu,password,Philip,Walker,109-71 GOLD ST,Los_Angeles,CA,90001,115-555-6461,faculty
3,SKing@weu.edu,password,Shlomo,King,14 I-280 TO HWY 101 RAMP,Newport,RI,2841,749-555-8269,faculty
4,KWilliams@weu.edu,password,Kelly,Williams,81-18 FAIRBANKS ST,Wichita,KS,67201,265-555-4263,faculty
5,NPerry@weu.edu,password,Nathan,Perry,3194OLD CHINATOWN LN,Aberdeen,SD,57402,218-555-9784,faculty
6,SPerry@weu.edu,password,Samantha,Perry,4490 CLARKSON ST,Los_Angeles,CA,90001,465-555-8855,faculty
7,LTaylor@weu.edu,password,Lauren,Taylor,3379 LUDLOW ALY,Anchorage,AK,99501,334-555-4921,faculty
8,CRoberts@weu.edu,password,Caitlin,Roberts,8505 BELDEN ST,Duluth,MN,55801,244-555-8912,faculty
9,RHall@weu.edu,password,Raymond,Hall,94-43OAKWOOD ST,Des_Moines,IA,52801,440-555-6504,faculty
10,WSmith@weu.edu,password,Willie,Smith,93-78 MANSEAU ST,Aberdeen,SD,57402,158-555-7163,faculty
11,RCampbell@weu.edu,password,Ryan,Campbell,9037 NATOMA ST,Portland,OR,97201,729-555-5771,faculty
12,SButler@weu.edu,password,Samuel,Butler,97-63 PENINSULA AVE,Honolulu,HI,96801,189-555-8591,faculty
13,RJohnson@weu.edu,password,Ramona,Johnson,4854 BIGELOW CT,Newport,RI,2841,298-555-8199,faculty
14,admin@weu.edu,password,Samantha,James,80-15 OLIVE ST,Nashville,TN,37201,338-555-3923,admin
15,EBell@weu.edu,password,Emma,Bell,24-54 SAN ANTONIO PL,Coldwater,MI,49036,744-555-8349,faculty
16,MRichardson@weu.edu,password,Mark,Richardson,968 THOMAS MELLON CIR,Logan,UT,84321,492-555-4619,faculty
17,RMoore@weu.edu,password,Ronald,Moore,16-89 GENOA PL,Honolulu,HI,96801,670-555-2208,faculty
18,RHarris@weu.edu,password,Rose,Harris,101-45 SAINT GEORGE ALY,Cleveland,OH,44101,104-555-2049,faculty
19,MCarter@weu.edu,password,Megan,Carter,746 NIAGARA AVE,Pensacola,FL,32501,283-555-6960,faculty
20,NCampbell@weu.edu,password,Noah,Campbell,4931 CAMPBELL AVE,Los_Angeles,CA,90001,545-555-9810,faculty
21,DCarter@weu.edu,password,Donna,Carter,73-101 GUERRERO ST,"6,270,162,709",IN,62701,380-555-9570,faculty
22,AMurphy@weu.edu,password,Ann,Murphy,72-15 ADELE CT,Biloxi,MS,39530,495-555-8274,faculty
23,SAlexander@weu.edu,password,Samuel,Alexander,82-16 LIGGETT AVE,Walhalla,ND,58282,718-555-8327,faculty
24,KYoung@weu.edu,password,Kenneth,Young,7268 OSHAUGHNESSY BLVD,Logan,UT,84321,102-555-2291,faculty
25,PWard@weu.edu,password,Paul,Ward,55-102 OXFORD ST,Honolulu,HI,96801,328-555-9831,faculty
26,MBrooks@weu.edu,password,Makenzie,Brooks,5750 FARVIEW CT,"6,270,162,709",IN,62701,564-555-4156,faculty
27,JClark@weu.edu,password,Jack,Clark,5620 WEDEMEYER ST,Bellevue,WA,98004,413-555-9223,faculty
28,DLee@weu.edu,password,Donna,Lee,7610 FALLON PL,Des_Moines,IA,52801,116-555-3380,faculty
29,AButler@weu.edu,password,Ann,Butler,2048 MERCEDES WAY,Orlando,FL,32801,729-555-8455,faculty
30,APeterson@weu.edu,password,Amanda,Peterson,63-38 PAGODA PL,Des_Moines,IA,52801,496-555-7171,faculty
31,CWalker@weu.edu,password,Cheryl,Walker,105-43 WILLARD ST NORTH,Miami,FL,33124,368-555-3373,faculty
32,LFoster@weu.edu,password,Lee,Foster,89-74 KEARNY ST,IL,Sp,60601,457-555-3650,faculty
33,GCox@weu.edu,password,Gary,Cox,97-33 SHARON ST,Pensacola,FL,32501,418-555-8874,faculty
34,JHall@weu.edu,password,Jerry,Hall,79-37 FOUNTAIN ST,Hartford,CT,6101,736-555-8449,faculty
35,PNelson@weu.edu,password,Percival,Nelson,5658 OWENS ST,Honolulu,HI,96801,201-555-9944,faculty
36,CReed@weu.edu,password,Caitlin,Reed,38-22 IRON ALY,Dover,DE,19901,240-555-8624,faculty
37,VSimmons@weu.edu,password,Virginia,Simmons,7111 CORDELIA ST,Portland,OR,97201,123-555-7441,faculty
38,BRodriguez@weu.edu,password,Brandon,Rodriguez,49-11 HARRISON BLVD,Boston,MA,2101,746-555-5252,faculty
39,KButler@weu.edu,password,Kathleen,Butler,74-14 EMERALD COVE WAY,Beaver,WV,25813,274-555-6071,faculty
40,KGonzalez@weu.edu,password,Kyle,Gonzalez,9166 OREILLY AVE,Miami,FL,33124,528-555-3122,faculty
41,AThomas@weu.edu,password,Aaron,Thomas,81-70 GARRISON AVE,Lakes,MN,49734,691-555-9048,faculty
42,MKelly@weu.edu,password,Malay,Kelly,74-70 SUTRO HEIGHTS AVE,Santa_Fe,NM,87500,255-555-6215,faculty
43,RGriffin@weu.edu,password,Roger,Griffin,101-109 TORNEY AVE,"2,000,120,020",DC,20001,644-555-4056,faculty
44,JYoung@weu.edu,password,Judy,Young,100-10 MERCURY ST,Walhalla,ND,58282,185-555-2281,faculty
45,WEdwards@weu.edu,password,Walter,Edwards,7626 PELICAN COVE TER,Newport,RI,2841,175-555-3051,faculty
